,Source,General_Pos,Finer_Pos
393,steering,3830.0,3063.0
394,steering,3830.0,3063.0
395,steering,3830.0,3063.0
396,steering,3830.0,3063.0
397,steering,3830.0,3063.0
398,steering,3830.0,3063.0
399,steering,3830.0,3063.0
400,steering,3830.0,3063.0
401,steering,3830.0,3063.0
402,steering,3830.0,3063.0
403,steering,3830.0,3063.0
404,steering,3830.0,3063.0
405,steering,3830.0,3063.0
406,steering,3830.0,3063.0
407,steering,3830.0,3063.0
408,steering,3830.0,3063.0
409,steering,3830.0,3063.0
410,steering,3830.0,3063.0
411,steering,3830.0,3063.0
412,steering,3830.0,3063.0
413,steering,3830.0,3063.0
414,steering,3830.0,3063.0
415,steering,3830.0,3063.0
416,steering,3830.0,3063.0
417,steering,3830.0,3063.0
418,steering,3830.0,3063.0
419,steering,3830.0,3063.0
420,steering,3830.0,3063.0
421,steering,3830.0,3063.0
422,steering,3830.0,3063.0
423,steering,3830.0,3063.0
424,steering,3830.0,3063.0
425,steering,3830.0,3063.0
426,steering,3830.0,3063.0
427,steering,3830.0,3063.0
428,steering,3830.0,3063.0
429,steering,3830.0,3063.0
430,steering,3830.0,3063.0
431,steering,3830.0,3063.0
432,steering,3830.0,3063.0
433,steering,3830.0,3063.0
434,steering,3830.0,3063.0
435,steering,3830.0,3063.0
436,steering,3830.0,3063.0
437,steering,3830.0,3063.0
438,steering,3830.0,3063.0
439,steering,3830.0,3063.0
440,steering,3830.0,3063.0
441,steering,3830.0,3063.0
442,steering,3830.0,3063.0
443,steering,3830.0,3063.0
444,steering,3830.0,3063.0
445,steering,3830.0,3063.0
446,steering,3830.0,3063.0
447,steering,3830.0,3063.0
448,steering,3830.0,3063.0
449,steering,3830.0,3063.0
450,steering,3830.0,3063.0
451,steering,3830.0,3063.0
452,steering,3830.0,3063.0
453,steering,3830.0,3063.0
454,steering,3830.0,3063.0
455,steering,3830.0,3063.0
456,steering,3830.0,3063.0
457,steering,3830.0,3063.0
458,steering,3830.0,3063.0
459,steering,3830.0,3063.0
460,steering,3830.0,3063.0
461,steering,3830.0,3063.0
462,steering,3830.0,3063.0
463,steering,3830.0,3063.0
464,steering,3830.0,3063.0
465,steering,3830.0,3063.0
466,steering,3830.0,3063.0
467,steering,3830.0,3063.0
468,steering,3830.0,3063.0
469,steering,3830.0,3063.0
470,steering,3830.0,3063.0
471,steering,3830.0,3063.0
472,steering,3830.0,3063.0
473,steering,3830.0,3063.0
474,steering,3830.0,3063.0
475,steering,3830.0,3063.0
476,steering,3830.0,3063.0
477,steering,3830.0,3063.0
478,steering,3830.0,3063.0
479,steering,3830.0,3063.0
480,steering,3830.0,3063.0
481,steering,3830.0,3063.0
482,steering,3830.0,3063.0
483,steering,3830.0,3063.0
484,steering,3830.0,3063.0
485,steering,3830.0,3063.0
486,steering,3830.0,3063.0
487,steering,3830.0,3063.0
488,steering,3830.0,3063.0
489,steering,3830.0,3063.0
490,steering,3830.0,3063.0
491,steering,3830.0,3063.0
492,steering,3830.0,3063.0
493,steering,3830.0,3063.0
494,steering,3830.0,3063.0
495,steering,3830.0,3063.0
496,steering,3830.0,3063.0
497,steering,3830.0,3063.0
498,steering,3830.0,3063.0
499,steering,3830.0,3063.0
500,steering,3830.0,3063.0
501,steering,3830.0,3063.0
502,steering,3830.0,3063.0
503,steering,3830.0,3063.0
504,steering,3830.0,3063.0
505,steering,3830.0,3063.0
506,steering,3830.0,3063.0
507,steering,3830.0,3063.0
508,steering,3830.0,3063.0
509,steering,3830.0,3063.0
510,steering,3830.0,3063.0
511,steering,3830.0,3063.0
512,steering,3830.0,3063.0
513,steering,3830.0,3063.0
514,steering,3830.0,3063.0
515,steering,3830.0,3063.0
516,steering,3830.0,3063.0
517,steering,3830.0,3063.0
518,steering,3830.0,3063.0
519,steering,3830.0,3063.0
520,steering,3830.0,3063.0
521,steering,3830.0,3063.0
522,steering,3830.0,3063.0
523,steering,3830.0,3063.0
524,steering,3830.0,3063.0
525,steering,3830.0,3063.0
526,steering,3830.0,3063.0
527,steering,3830.0,3063.0
528,steering,3830.0,3063.0
529,steering,3830.0,3063.0
530,steering,3830.0,3063.0
531,steering,3830.0,3063.0
532,steering,3830.0,3063.0
533,steering,3830.0,3063.0
534,steering,3830.0,3063.0
535,steering,3830.0,3063.0
536,steering,3830.0,3063.0
537,steering,3830.0,3063.0
538,steering,3830.0,3063.0
539,steering,3830.0,3063.0
